generation,best_fitness,mean_fitness,best_agent,duration,total duration,all_fitness
1,-133,-525,19,75.79184079170227,75.79184079170227,"[-464.9959466196377, -825.1615114458845, -780.2187889002835, -168.60358634712858, -545.3027468813875, -868.592132369018, -324.85230403437606, -575.5885299750282, -436.35737961722, -581.8522532940169, -500.69518887100753, -544.2958894179991, -681.1767052618725, -550.4880059217433, -195.0617967945838, -592.5519042606646, -574.9108584061804, -441.21695579742595, -719.6597434808498, -133.28640171006535]"
2,-127,-309,1,63.47633695602417,139.26817774772644,"[-135.25687070517836, -127.08967504563125, -148.92046974191896, -581.0010201572996, -153.4802796366336, -128.78498479509776, -835.3298847613213, -365.0889854984543, -499.43083668557387, -147.93395670227062, -129.7054457470525, -401.21910135208316, -196.29128314958012, -139.4861170525974, -830.6275842014159, -141.92544642788937, -541.7809102074025, -422.7975786996797, -134.1602682891167, -135.22789384170807]"
3,-87,-119,4,58.632267475128174,197.90044522285461,"[-137.8096948232279, -132.49644384118002, -99.26951201051102, -146.47463630905736, -87.11654141592834, -121.12074181622717, -99.39691251950998, -115.44748185606988, -138.78146697881522, -88.56526131298861, -147.90789597615105, -110.72247237254277, -116.76567725596081, -115.05492703201006, -102.98409614242564, -117.73579800322679, -156.19395479510627, -137.983389667311, -106.60344762990343, -114.7528354083419]"
4,-97,-164,8,64.18023991584778,262.0806851387024,"[-159.28555446544337, -180.56681453934505, -134.48514343752225, -143.7352470250458, -142.56744797154303, -116.48377077763254, -111.15596093159311, -110.55975805078089, -97.18222151467054, -119.81921078098839, -101.34368900683626, -876.3493055190911, -118.47131167707482, -105.03715705126834, -105.87165864437333, -149.82594538920523, -133.59260808873344, -133.62584423044652, -146.10877021821932, -100.60238990284162]"
5,-27,-134,8,64.5712616443634,326.6519467830658,"[-143.3655722325796, -184.62841464889138, -171.10250467909168, -167.67234754094005, -129.68068567613642, -180.34798132932474, -127.17542247334316, -137.67554410226097, -27.363169975385546, -86.30713612976146, -112.87917268275069, -133.10656052015975, -160.45686921216003, -199.2807007585517, -97.45578265742438, -111.18860345643145, -148.85031253195177, -81.9262100228045, -87.5207542102365, -194.97756913891254]"
6,-15,-128,19,60.98061466217041,387.6325614452362,"[-207.6666087777521, -155.84363587968923, -68.57186602409485, -117.64308771074175, -127.20231736109014, -125.30125756520778, -121.52970925577782, -218.33585318584733, -174.27355487470916, -192.69792805646134, -54.32984538712557, -126.48356215179342, -163.54108025259364, -156.9569205999345, -131.18068992051624, -105.76292318452101, -100.6097948843126, -106.32695968102249, -105.17618348885529, -15.111114259329668]"
7,-94,-138,4,60.65496349334717,448.2875249385834,"[-138.8984537145775, -176.39610127621017, -114.6656629855145, -132.24593815805167, -94.32188393738033, -140.6855533777115, -148.277221241432, -172.4578611973067, -133.7258371020296, -113.77195681646865, -135.34942858769656, -97.0758629400045, -175.0093395404357, -151.49678836156698, -153.13611392085977, -154.4845220258233, -113.70397324349258, -122.66466834762576, -183.85954713672015, -117.33504384076082]"
8,24,-148,0,60.67766976356506,508.96519470214844,"[24.58180764245178, -130.19201798130362, -580.1973051351632, -126.78156840504082, -127.61264062549623, -146.27760315879752, -177.6903324333512, -158.02357914791878, -123.14511604987652, -197.28983274050293, -130.77904853384774, -167.37107700292103, -97.4616442067362, -85.76483987066453, -139.49542772623158, -144.7056670389761, -125.6263796059923, -134.87892064680992, -95.49505068439177, -103.96153942173459]"
9,-22,-127,5,67.66651391983032,576.6317086219788,"[-110.2212077675218, -109.78716856259922, -100.24821667780856, -115.31135890575797, -118.60858658693306, -22.65616413637585, -104.83860582859026, -141.378170296658, -144.6054111922207, -111.45221959238683, -146.61013001100937, -120.1238442988464, -180.46556492424207, -186.68581066655403, -135.652869109482, -126.36293216918816, -171.18555849585383, -133.84329484691807, -141.81568575364483, -132.44433127163913]"
10,-105,-210,4,66.81407189369202,643.4457805156708,"[-170.4122651255861, -337.04696064426923, -181.83718821463154, -143.17697525683906, -105.5421048759481, -134.08660159090823, -108.18019403428332, -137.6298203821785, -147.58646307638992, -1410.14631999575, -130.57131464889721, -148.57646066929078, -126.58137092331458, -143.70455414597575, -125.18211482657907, -143.2157759494904, -116.72937071887182, -133.77734421118652, -141.14628820854375, -133.2085170105023]"
